"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "HTML", "XML", "CSS", "YAML", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 5, 131
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 5, 9, 109
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\_UserList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 355, 0, 0, 0, 0, 20, 33, 408
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\anime\FuzzyText\FuzzyText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 5, 34, 200
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\anime\GridDistortion\GridDistortion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 5, 31, 215
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\anime\Magnet\Magnet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 3, 13, 91
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\anime\RotatingText\RotatingText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 3, 18, 251
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\anime\ScrollFloat\ScrollFloat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 3, 11, 92
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\anime\TextPressure\TextPressure.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 3, 32, 220
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\bg\hero-bg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 14, 40, 196
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\bg\square-bg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 27, 172
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\bg\starry-background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 10, 21, 109
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 355, 0, 0, 0, 0, 33, 39, 427
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\logo\nav-logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 26, 11, 106
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\magicui\dock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 18, 142
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\magicui\meteors.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 2, 6, 61
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\magicui\orbiting-circles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 3, 72
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 267, 0, 0, 0, 0, 25, 34, 326
