"filename", "language", "Markdown", "JSON", "JavaScript", "YAML", "Ignore", "TypeScript", "XML", "TypeScript JSX", "JSON with Comments", "PostCSS", "Groovy", "Docker", "HTML", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\home\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 847, 0, 0, 0, 0, 0, 36, 81, 964
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 6, 50
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\loome\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\loome\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 3, 10
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\3d-marquee.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\admin-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 7, 54
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\header\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\header\notification-dropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 2, 40
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\header\user-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 3, 51
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\sidebar\desktop-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\sidebar\mobile-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\sidebar\nav-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 4, 41
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\loome\loome-nav-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 1, 8, 136
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\loome\loome-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 7, 17, 316
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\team\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\team\team-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\magicui\magic-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 12, 109
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\magicui\shine-border.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 17, 5, 62
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\mailbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 5, 6, 81
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\main-page\hero-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 0, 32, 299
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\main-page\self-introduce.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\mobile-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 1, 8, 140
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 304, 0, 0, 0, 0, 0, 11, 19, 334
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\profile-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 12, 17, 189
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\providers\NextAuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\starry-background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 6, 16, 77
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\3d-marquee.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 1, 4, 143
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\animated-testimonials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 11, 173
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\aurora-background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 1, 5, 62
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 7, 54
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 6, 47
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 6, 60
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 10, 93
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 14, 136
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 19, 258
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 14, 186
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 14, 140
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\starry-background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 20, 106
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 12, 117
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 8, 67
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\config\admin-menu.ts", "TypeScript", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\config\team-menu.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\data\introduce.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\data\navigation.ts", "TypeScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\hooks\use-media-query.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\hooks\use-session.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\hooks\use-sidebar-menu.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\db\mongo\mongo.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 14, 66
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\db\mongo\mongodb.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 6, 30
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\db\mongo\schemas\feedback.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\db\mongo\schemas\user.ts", "TypeScript", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 7, 7, 102
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\db\redis\redis.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\db\redis\use-cache.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 3, 26
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\db\redis\use-publish.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 6, 28
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\services\sms.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 5, 36
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 6, 36
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\store\auth-store.ts", "TypeScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\store\profile-store.ts", "TypeScript", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 4, 72
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\types\next-auth.d.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 3, 29
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\types\user\user.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\utils\auth.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 15, 7, 37
"e:\Projects\Nextjs-projects\icstudio\icstudio\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
