"filename", "language", "JSON", "JavaScript", "TypeScript", "YAML", "Docker", "Groovy", "Ignore", "JSON with Comments", "Markdown", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 10, 93
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 14, 136
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 19, 258
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 6, 59
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 14, 186
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 14, 140
